,순위,선수명,팀명,타율,경기수,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,선수ID,생년월일,신장,체중,입단계약금,연봉,지명순위,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,실책,도루성공률,멀티히트,출루율add장타율,득점권타율,대타타율,사진URL
161,34,정기훈,한화,0.125,13,18,16,2,2,0,0,0,2,0,0,0,64209,1995년 02월 18일,184cm,78kg,6000만원,2700만원,14 두산 2차 5라운드 52순위,1,0,1,9,0,0.125,0.222,0,0.0,0,0.347,0.000,0.200,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64209.jpg
162,35,이동훈,한화,0.100,21,31,30,5,3,0,0,0,3,0,0,0,66702,1996년 07월 24일,178cm,72kg,10000만원,3300만원,16 한화 2차 2라운드 19순위,0,0,1,10,0,0.100,0.129,0,-,0,0.229,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66702.jpg
163,36,김진욱,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,68701,2000년 01월 13일,176cm,79kg,3000만원,2900만원,18 한화 2차 10라운드 94순위,0,0,0,1,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68701.jpg
164,1,류지혁,KIA,0.381,25,51,42,13,16,3,0,1,22,5,1,2,62234,1994년 01월 13일,181cm,75kg,7000만원,10500만원,12 두산 4라운드 36순위,1,0,5,6,3,0.524,0.440,4,50.0,4,0.964,0.200,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62234.jpg
165,2,김선빈,KIA,0.349,46,191,166,23,58,13,0,0,71,19,0,1,78603,1989년 12월 18일,165cm,77kg,3000만원,45000만원,08 KIA 2차 6라운드 43순위,22,0,2,23,4,0.428,0.429,2,50.0,13,0.857,0.421,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/78603.jpg
166,3,최형우,KIA,0.334,92,393,338,60,113,21,1,13,175,61,0,2,72443,1983년 12월 16일,180cm,106kg,5000만원,150000만원,02 삼성 2차 6라운드 48순위,48,2,5,62,6,0.518,0.422,0,-,35,0.940,0.350,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/72443.jpg
167,4,김주찬,KIA,0.333,7,18,18,3,6,0,0,1,9,2,0,0,70410,1981년 03월 25일,183cm,94kg,18000만원,40000만원,00 삼성 2차 1라운드 5순위,0,0,0,2,2,0.500,0.333,0,0.0,1,0.833,0.143,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/70410.jpg
168,5,이창진,KIA,0.330,22,99,88,19,29,8,1,0,39,7,0,0,64560,1991년 03월 04일,173cm,85kg,5000만원,8500만원,14 롯데 2차 6라운드 60순위,10,0,1,17,2,0.443,0.404,0,0.0,7,0.847,0.294,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64560.jpg
169,6,터커,KIA,0.299,94,415,358,69,107,23,0,24,202,72,0,0,69652,1990년 07월 06일,183cm,95kg,90000달러,550000달러,19 KIA 자유선발,52,2,5,45,8,0.564,0.395,1,0.0,27,0.959,0.302,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69652.jpg
170,7,나지완,KIA,0.291,92,376,326,55,95,12,0,14,149,71,0,3,78629,1985년 05월 19일,182cm,105kg,10000만원,60000만원,08 KIA 2차 1라운드 5순위,38,0,9,79,2,0.457,0.378,0,-,24,0.835,0.367,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/78629.jpg
171,8,나주환,KIA,0.279,64,222,204,21,57,5,0,6,80,26,4,1,73209,1984년 06월 14일,180cm,84kg,10000만원,12000만원,03 두산 2차 2라운드 16순위,12,0,1,44,6,0.392,0.321,9,-,13,0.713,0.280,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/73209.jpg
172,9,김민식,KIA,0.272,31,103,92,11,25,2,1,1,32,11,2,0,62864,1989년 06월 28일,180cm,80kg,14000만원,8800만원,12 SK 2라운드 11순위,9,0,0,17,2,0.348,0.337,1,-,6,0.685,0.350,0.400,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62864.jpg
173,10,최원준,KIA,0.265,75,185,162,26,43,6,0,1,52,15,5,4,66606,1997년 03월 23일,178cm,85kg,15000만원,7000만원,16 KIA 2차 1라운드 3순위,12,0,2,18,0,0.321,0.317,2,100.0,7,0.638,0.250,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66606.jpg
174,11,유민상,KIA,0.264,81,299,254,22,67,14,0,5,96,49,2,2,62265,1989년 04월 13일,186cm,101kg,5000만원,6000만원,12 두산 7라운드 65순위,38,1,3,52,10,0.378,0.364,7,-,11,0.742,0.364,0.375,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62265.jpg
175,12,오선우,KIA,0.259,46,62,58,11,15,0,0,4,27,14,0,0,69636,1996년 12월 13일,186cm,95kg,5000만원,3000만원,19 KIA 2차 5라운드 50순위,2,0,2,23,2,0.466,0.306,0,-,2,0.772,0.292,0.273,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69636.jpg
176,13,홍종표,KIA,0.256,20,46,43,5,11,1,0,0,12,6,2,0,50600,2000년 05월 02일,178cm,72kg,11000만원,2700만원,20 KIA 2차 2라운드 16순위,1,0,0,7,0,0.279,0.273,0,0.0,3,0.552,0.188,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50600.jpg
177,14,이진영,KIA,0.250,5,5,4,0,1,0,0,0,1,1,0,0,66657,1997년 07월 21일,183cm,82kg,5000만원,3400만원,16 KIA 2차 6라운드 58순위,1,0,0,1,0,0.250,0.400,0,-,0,0.650,0.500,0.250,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66657.jpg
178,14,최정민,KIA,0.250,10,4,4,5,1,0,0,0,1,2,0,0,62893,1989년 06월 02일,177cm,72kg,6000만원,3500만원,12 SK 5라운드 49순위,0,0,0,1,0,0.250,0.250,0,-,0,0.500,0.250,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62893.jpg
179,14,황대인,KIA,0.250,31,82,72,11,18,3,0,3,30,10,0,1,65610,1996년 02월 10일,178cm,100kg,16000만원,3000만원,15 KIA 2차 1라운드 2순위,9,0,0,15,4,0.417,0.329,2,-,4,0.746,0.167,0.444,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65610.jpg
180,17,한승택,KIA,0.247,60,197,166,19,41,5,0,8,70,22,7,0,63722,1994년 06월 21일,174cm,83kg,9000만원,8000만원,13 한화 3라운드 23순위,19,0,5,43,4,0.422,0.342,3,-,9,0.764,0.231,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63722.jpg
181,18,백용환,KIA,0.243,38,87,74,11,18,3,0,4,33,9,1,0,78643,1989년 03월 20일,180cm,95kg,4000만원,4000만원,08 KIA 2차 5라운드 37순위,12,0,0,20,1,0.446,0.349,2,-,4,0.795,0.250,0.111,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/78643.jpg
182,19,황윤호,KIA,0.243,24,73,70,5,17,3,0,0,20,5,0,0,62908,1993년 09월 22일,177cm,78kg,3000만원,5000만원,12 NC 10라운드 87순위,3,0,0,10,3,0.286,0.274,4,100.0,2,0.560,0.143,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62908.jpg
183,20,박찬호,KIA,0.239,94,375,343,46,82,12,0,3,103,29,7,2,64646,1995년 06월 05일,178cm,72kg,8000만원,10500만원,14 KIA 2차 5라운드 50순위,23,0,0,66,6,0.300,0.285,10,72.2,24,0.585,0.213,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64646.jpg
184,21,고장혁,KIA,0.231,6,13,13,0,3,0,0,0,3,0,0,0,63636,1990년 01월 08일,183cm,93kg,6000만원,5000만원,13 KIA 5라운드 44순위,0,0,0,5,0,0.231,0.231,0,-,0,0.462,0.333,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63636.jpg
185,22,김호령,KIA,0.226,56,145,124,32,28,5,2,4,49,16,3,1,65653,1992년 04월 30일,178cm,85kg,3000만원,8500만원,15 KIA 2차 10라운드 102순위,14,0,3,49,2,0.395,0.317,2,60.0,6,0.712,0.259,0.667,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65653.jpg
186,23,김태진,KIA,0.217,37,88,83,10,18,1,1,1,24,6,1,0,64984,1995년 10월 07일,170cm,75kg,8000만원,9000만원,14 NC 2차 4라운드 45순위,4,0,0,22,0,0.289,0.253,2,50.0,3,0.542,0.217,0.250,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64984.jpg
187,24,김규성,KIA,0.187,63,146,123,14,23,2,1,2,33,7,9,0,66614,1997년 03월 08일,183cm,73kg,4000만원,2900만원,16 KIA 2차 7라운드 63순위,13,0,1,29,1,0.268,0.270,3,50.0,5,0.538,0.185,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66614.jpg
188,25,최정용,KIA,0.174,31,49,46,4,8,1,0,1,12,4,1,0,65464,1996년 10월 24일,178cm,75kg,11000만원,3600만원,15 삼성 2차 2라운드 15순위,2,0,0,13,0,0.261,0.208,1,-,1,0.469,0.125,0.167,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65464.jpg
189,26,문선재,KIA,0.167,15,6,6,1,1,0,0,0,1,0,0,0,79113,1990년 05월 20일,185cm,91kg,5000만원,4500만원,09 LG 2차 7라운드 52순위,0,0,0,2,0,0.167,0.167,0,-,0,0.334,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79113.jpg
190,27,장영석,KIA,0.129,11,37,31,1,4,0,0,0,4,2,0,1,79334,1990년 05월 14일,186cm,100kg,13000만원,7500만원,09 히어로즈 2차 1라운드 3순위,4,0,1,7,3,0.129,0.243,3,-,0,0.372,0.125,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79334.jpg
191,28,이우성,KIA,0.120,29,31,25,4,3,1,0,0,4,1,0,0,63260,1994년 07월 17일,182cm,95kg,12000만원,4000만원,13 두산 2라운드 15순위,4,0,2,6,0,0.160,0.290,0,-,0,0.450,0.000,0.200,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63260.jpg
192,29,김현준,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,66630,1997년 06월 05일,182cm,78kg,18000만원,2900만원,16 KIA 1차,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66630.jpg
193,29,박민,KIA,0.000,6,2,1,1,0,0,0,0,0,0,0,0,50657,2001년 06월 05일,184cm,84kg,15000만원,2700만원,20 KIA 2차 1라운드 6순위,1,0,0,1,0,0.000,0.500,1,-,0,0.500,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50657.jpg
194,29,이정훈,KIA,0.000,3,4,4,0,0,0,0,0,0,0,0,0,67644,1994년 12월 07일,185cm,90kg,3000만원,3000만원,17 KIA 2차 10라운드 94순위,0,0,0,2,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67644.jpg
195,29,장현식,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,63950,1995년 02월 24일,181cm,91kg,15000만원,11000만원,13 NC 1라운드 9순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63950.jpg
196,1,로하스,KT,0.341,95,424,384,79,131,28,1,33,260,91,0,3,67025,1990년 05월 24일,189cm,102kg,100000달러,800000달러,17 KT 자유선발,34,2,3,97,8,0.677,0.396,3,0.0,40,1.073,0.330,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67025.jpg
197,2,허도환,KT,0.324,30,38,34,1,11,0,0,0,11,4,0,0,77243,1984년 07월 31일,176cm,87kg,,6500만원,03 두산 2차 7라운드 56순위,3,0,1,9,1,0.324,0.395,2,-,2,0.719,0.364,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/77243.jpg
198,3,강백호,KT,0.314,80,352,309,59,97,22,1,16,169,54,0,3,68050,1999년 07월 29일,184cm,98kg,45000만원,21000만원,18 KT 2차 1라운드 1순위,38,3,2,61,5,0.547,0.389,4,66.7,27,0.936,0.235,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68050.jpg
199,4,배정대,KT,0.311,95,403,350,59,109,22,3,10,167,44,4,2,64166,1995년 06월 12일,185cm,80kg,15000만원,4800만원,14 LG 2차 1라운드 3순위,44,0,3,91,6,0.477,0.391,4,64.0,30,0.868,0.279,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64166.jpg
200,5,조용호,KT,0.306,87,310,265,50,81,11,0,0,92,19,1,1,64868,1989년 09월 09일,170cm,75kg,,7000만원,14 SK 육성선수,41,0,2,55,5,0.347,0.401,1,80.0,19,0.748,0.343,0.444,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64868.jpg
201,6,황재균,KT,0.298,85,376,339,66,101,27,2,12,168,57,2,2,76313,1987년 07월 28일,183cm,96kg,6000만원,120000만원,06 현대 2차 3라운드 24순위,30,0,3,59,6,0.496,0.358,6,63.6,29,0.854,0.277,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/76313.jpg
202,7,장성우,KT,0.288,89,302,260,26,75,9,0,8,108,58,8,5,78548,1990년 01월 17일,187cm,100kg,20000만원,13500만원,08 롯데 1차,28,0,1,40,11,0.415,0.354,2,-,20,0.769,0.329,0.400,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/78548.jpg
203,8,유한준,KT,0.284,78,298,268,37,76,13,0,8,113,41,1,0,74339,1981년 07월 01일,186cm,97kg,6000만원,50000만원,00 현대 2차 3라운드 20순위,29,2,0,35,7,0.422,0.354,0,-,18,0.776,0.308,0.143,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/74339.jpg
204,9,김민혁,KT,0.277,75,186,166,30,46,4,2,4,66,19,1,1,64004,1995년 11월 21일,181cm,71kg,6000만원,9000만원,14 KT 2차 6라운드 56순위,18,0,0,31,2,0.398,0.346,4,66.7,12,0.744,0.217,0.143,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64004.jpg
205,10,박경수,KT,0.269,83,277,234,27,63,10,0,10,103,45,2,4,73113,1984년 03월 31일,178cm,80kg,43000만원,40000만원,03 LG 1차,33,2,4,72,9,0.440,0.364,6,0.0,14,0.804,0.290,0.154,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/73113.jpg
206,11,강현우,KT,0.240,22,27,25,2,6,2,0,1,11,3,0,0,50066,2001년 04월 13일,180cm,90kg,15000만원,2700만원,20 KT 2차 1라운드 2순위,2,0,0,6,1,0.440,0.296,0,-,1,0.736,0.400,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50066.jpg
207,12,강민국,KT,0.229,47,51,48,8,11,0,0,0,11,5,2,0,64906,1992년 01월 10일,176cm,80kg,20000만원,4000만원,14 NC 1차,1,0,0,10,0,0.229,0.245,4,-,2,0.474,0.556,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64906.jpg
208,13,심우준,KT,0.226,95,359,318,37,72,8,3,3,95,34,9,3,64006,1995년 04월 28일,183cm,75kg,13000만원,13000만원,14 KT 2차 특별 14순위,27,0,2,67,5,0.299,0.289,13,66.7,18,0.588,0.250,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64006.jpg
209,14,박승욱,KT,0.224,56,91,76,13,17,1,1,1,23,5,1,1,62802,1992년 12월 04일,184cm,85kg,8000만원,8000만원,12 SK 3라운드 31순위,10,0,3,24,1,0.303,0.333,5,80.0,3,0.636,0.143,0.250,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62802.jpg
210,15,천성호,KT,0.213,51,69,61,9,13,3,0,0,16,1,0,0,50054,1997년 10월 30일,183cm,85kg,10000만원,2700만원,20 KT 2차 2라운드 12순위,7,0,1,12,0,0.262,0.304,3,50.0,2,0.566,0.188,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50054.jpg
211,16,문상철,KT,0.197,36,72,66,12,13,2,0,2,21,9,1,1,64007,1991년 04월 06일,184cm,85kg,13000만원,4000만원,14 KT 2차 특별 11순위,4,0,0,19,0,0.318,0.239,1,0.0,5,0.557,0.158,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64007.jpg
212,17,이홍구,KT,0.194,33,71,62,4,12,1,0,2,19,5,0,1,63634,1990년 12월 11일,180cm,95kg,11000만원,9000만원,13 KIA 2라운드 14순위,6,0,2,20,3,0.306,0.282,1,-,3,0.588,0.143,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63634.jpg
213,18,김병희,KT,0.176,13,17,17,2,3,0,0,1,6,1,0,0,64014,1990년 12월 06일,180cm,82kg,13000만원,3000만원,14 KT 2차 특별 13순위,0,0,0,5,0,0.353,0.176,1,-,1,0.529,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64014.jpg
214,19,송민섭,KT,0.111,72,31,27,8,3,0,0,0,3,1,1,1,64012,1991년 08월 02일,177cm,80kg,,4700만원,14 KT 육성선수,2,0,0,10,0,0.111,0.167,0,66.7,0,0.278,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64012.jpg
215,20,김민,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,68043,1999년 04월 14일,185cm,88kg,30000만원,7500만원,18 KT 1차,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68043.jpg
216,20,김성훈,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,69098,1996년 02월 25일,181cm,82kg,,2900만원,19 KT 육성선수,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69098.jpg
217,20,김영환,KT,0.000,10,10,9,0,0,0,0,0,0,0,1,0,63448,1993년 01월 31일,178cm,74kg,,3300만원,13 삼성 2라운드 11순위,0,0,0,3,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63448.jpg
218,20,김재윤,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,65062,1990년 09월 16일,185cm,91kg,,12000만원,15 KT 2차 특별 13순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65062.jpg
219,20,김태훈,KT,0.000,2,3,3,0,0,0,0,0,0,0,0,0,65040,1996년 03월 31일,177cm,78kg,6000만원,2900만원,15 KT 2차 5라운드 53순위,0,0,0,1,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65040.jpg
220,20,류희운,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,64029,1995년 06월 19일,191cm,103kg,32000만원,3500만원,14 KT 우선지명,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64029.jpg
221,20,박준혁,KT,-,5,0,0,1,0,0,0,0,0,0,0,0,68003,1999년 08월 30일,184cm,76kg,,2900만원,18 KT 육성선수,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68003.jpg
222,20,이대은,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,67008,1989년 03월 23일,189cm,90kg,,10000만원,19 KT 2차 1라운드 1순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67008.jpg
223,20,이보근,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,75342,1986년 04월 30일,187cm,90kg,5000만원,20000만원,05 현대 2차 5라운드 39순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/75342.jpg
224,20,이상화,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,77563,1988년 03월 01일,188cm,95kg,20000만원,4000만원,07 롯데 1차,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/77563.jpg
225,20,조병욱,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,67045,1998년 06월 08일,185cm,95kg,10000만원,2700만원,17 KT 1차,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67045.jpg
226,20,주권,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,65060,1995년 05월 31일,181cm,82kg,30000만원,15000만원,15 KT 우선지명,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65060.jpg
227,20,홍현빈,KT,0.000,3,1,1,0,0,0,0,0,0,0,0,0,67005,1997년 08월 29일,174cm,70kg,9000만원,2900만원,17 KT 2차 3라운드 21순위,0,0,0,1,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67005.jpg
228,1,김현수,LG,0.345,99,436,391,73,135,27,1,20,224,84,0,3,76290,1988년 01월 12일,188cm,100kg,,130000만원,06 두산 육성선수,40,7,2,37,8,0.573,0.406,1,0.0,40,0.979,0.483,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/76290.jpg
229,2,손호영,LG,0.345,19,30,29,8,10,2,0,0,12,2,0,0,50150,1994년 08월 23일,182cm,88kg,,2700만원,20 LG 2차 3라운드 23순위,1,0,0,6,2,0.414,0.367,2,100.0,3,0.781,0.444,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50150.jpg
230,3,김용의,LG,0.316,72,60,57,18,18,1,1,1,24,11,1,1,78217,1985년 08월 20일,187cm,74kg,5000만원,10500만원,08 두산 2차 4라운드 29순위,1,0,0,11,1,0.421,0.322,0,66.7,2,0.743,0.350,0.375,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/78217.jpg
231,4,이형종,LG,0.312,39,162,141,24,44,7,2,8,79,22,0,0,78135,1989년 06월 07일,183cm,80kg,43000만원,20000만원,08 LG 1차,17,0,4,26,3,0.560,0.401,4,100.0,12,0.961,0.290,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/78135.jpg
232,5,박용택,LG,0.305,58,168,154,19,47,11,0,2,64,28,0,3,72133,1979년 04월 21일,185cm,90kg,30000만원,80000만원,98 LG 2차우선,11,0,0,26,6,0.416,0.345,0,100.0,8,0.761,0.333,0.250,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/72133.jpg
233,6,라모스,LG,0.296,93,388,341,58,101,14,1,30,207,67,0,4,50165,1994년 12월 28일,193cm,115kg,50000달러,300000달러,20 LG 자유선발,40,4,3,105,6,0.607,0.371,4,100.0,28,0.978,0.266,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50165.jpg
234,7,김민성,LG,0.293,55,212,188,19,55,13,0,3,77,34,2,3,77564,1988년 12월 17일,181cm,94kg,10000만원,40000만원,07 롯데 2차 2라운드 13순위,17,0,2,38,8,0.410,0.352,4,100.0,15,0.762,0.353,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/77564.jpg
235,8,채은성,LG,0.288,78,335,302,45,87,13,1,9,129,65,0,4,79192,1990년 02월 06일,186cm,92kg,,32000만원,09 LG 육성선수,23,1,6,58,8,0.427,0.346,0,0.0,27,0.773,0.379,0.250,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79192.jpg
236,9,오지환,LG,0.285,96,396,358,58,102,27,5,9,166,51,5,4,79109,1990년 03월 12일,186cm,80kg,28000만원,60000만원,09 LG 1차,23,1,6,78,3,0.464,0.335,9,77.8,26,0.799,0.280,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79109.jpg
237,10,이천웅,LG,0.283,59,268,230,39,65,7,1,1,77,27,2,5,61186,1988년 10월 20일,182cm,90kg,,28000만원,11 LG 육성선수,27,0,4,30,2,0.335,0.361,0,54.5,20,0.696,0.333,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/61186.jpg
238,11,홍창기,LG,0.280,90,299,236,58,66,19,5,3,104,22,2,2,66108,1993년 11월 21일,189cm,94kg,8000만원,3800만원,16 LG 2차 3라운드 27순위,53,1,6,56,7,0.441,0.421,2,57.1,19,0.862,0.222,0.143,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66108.jpg
239,12,신민재,LG,0.273,43,12,11,15,3,0,0,0,3,3,0,0,65207,1996년 01월 21일,171cm,67kg,,5000만원,15 두산 육성선수,1,0,0,2,1,0.273,0.333,0,60.0,0,0.606,0.333,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65207.jpg
240,13,유강남,LG,0.268,94,335,306,40,82,12,0,13,133,62,0,2,61102,1992년 07월 15일,182cm,88kg,4000만원,23000만원,11 LG 7라운드 50순위,18,1,9,69,12,0.435,0.325,1,50.0,18,0.760,0.418,0.429,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/61102.jpg
241,14,이성우,LG,0.268,49,66,56,7,15,1,0,3,25,11,4,0,71184,1981년 09월 01일,180cm,91kg,,8000만원,05 SK 육성선수,6,0,0,11,2,0.446,0.339,0,-,2,0.785,0.333,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/71184.jpg
